Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Seth Lugo","- - -",35.46665812369423,,34.38118698546936,33.668018102645874,,31.178588870793075,33.350032146911175,35.30827153631138,26.69026760688195,,32.00845633612739,,,35.14381814760583,26.909256967122122,36.39770415997437,31.123548834578795,10.670835048973544,"Seth Lugo",12447,607625
"Yusei Kikuchi","- - -",38.84423931670378,,42.649835733921,55.60269818987165,,35.68651941087511,41.33215179740223,48.71168192501726,,,44.87690527349672,,,41.356633156359926,25.627362569173176,48.71168192501726,,10.630740968878577,"Yusei Kikuchi",20633,579328
"Trevor Rogers","- - -",22.2129096335329,,20.884868367513022,,,22.30221965505594,22.45567735150154,,,,22.479469030190923,,,22.717179121983914,20.311937604631698,,,10.454940911106323,"Trevor Rogers",22286,669432
"Michael King","- - -",34.79373133312383,,26.49737838047003,,,27.04315716317253,27.7362278366842,28.32039417104518,,,22.808143665769705,,,27.062704817343256,27.847384330525763,28.32039417104518,,10.272870012658792,"Michael King",19853,650633
"Justin Steele","CHC",44.58472089025664,,,,,45.034847982381564,46.81477203812894,51.61994608301316,,,44.31963951804421,,,46.81477203812894,,51.61994608301316,,10.262841264640965,"Justin Steele",17312,657006
"Hunter Greene","CIN",32.63799597319123,,,34.77383467451257,,,30.164253133702637,38.77529874761054,,,30.625470919268473,,,30.164253133702637,,38.77529874761054,,10.163809377191116,"Hunter Greene",22182,668881
"Drew Rasmussen","- - -",57.49678891934974,,52.828571737406094,,,50.257137114696015,48.94117793147428,55.32580459504704,,,48.4889223245474,,,51.557813853948886,47.78438351964891,55.32580459504704,,10.120567328138181,"Drew Rasmussen",25385,656876
"Bailey Ober","MIN",32.732967643806276,,34.54079846231942,,,29.669668557508935,32.704549919475205,37.265576012526886,,,31.300498043299157,,,32.981191822757474,31.226635196903448,37.265576012526886,,10.050251778123434,"Bailey Ober",21224,641927
"Sean Manaea","- - -",22.622762693932003,,24.528522671676996,,,24.700687660128455,24.80228428504739,22.949872334798176,,,29.19462899198354,,,27.5008762112583,22.28914967626542,22.949872334798176,,9.828662626416635,"Sean Manaea",15873,640455
"Eduardo Rodriguez","- - -",37.132657072018695,,35.060666362524515,,,38.4282799763962,38.928964066917146,46.040015204104385,,,37.68115308516978,,,38.928964066917146,,46.040015204104385,,9.607323979599478,"Eduardo Rodriguez",13164,593958
"Kyle Freeland","COL",30.31169786507605,,25.726130928312028,,,23.229531223698494,22.4283988806789,,26.434690208464,,27.77869192704669,,,21.88666607552741,25.499112058394026,,,9.58191445118633,"Kyle Freeland",16256,607536
"Tyler Anderson","- - -",52.009168945358745,,45.55806414115845,36.152732849121094,,22.194384034211037,35.528938497815815,55.94155202938032,58.02989196777344,,54.46164558152975,,,35.55173056080656,33.71696853637695,55.94155202938032,,9.580358973045612,"Tyler Anderson",12880,542881
